R0000100	PUBID, YOUTH CASE IDENTIFICATION CODE
R0068900	R HAD SOMETHING STOLEN FROM SCHOOL
R0069000	R THREATENED TO BE HURT AT SCHOOL
R0069100	R IN A FIGHT AT SCHOOL
R0069200	R LATE FOR SCHOOL WITHOUT EXCUSE
R0069300	# DAYS R ABSENT FROM SCHOOL?
R0069400	TEACHERS GOOD (AGREE/DISAGREE)
R0069500	TEACHERS INTERESTED IN STUDENTS AGREE/DISAGREE
R0069600	STUDENTS DISRUPT LEARNING AGREE/DISAGREE
R0069700	STUDENTS GRADED FAIRLY AGREE/DISAGREE
R0069800	CHEAT ON TEST AND ASSIGNMENT (AGREE/DISAGREE)
R0069900	DISCIPLINE IS FAIR AGREE/DISAGREE
R0070000	FEEL SAFE AT SCHOOL AGREE/DISAGREE
R0070300	PERCENT OF PEERS WHO GO TO CHURCH REGULARLY
R0070400	PERCENT OF PEERS WHO SMOKE
R0070500	PERCENT OF PEERS WHO GET DRUNK 1+ TIMES A MONTH
R0070600	PERCENT PEERS IN SPORTS, CLUBS, SCHOOL ACTIVITIES
R0070700	PERCENT OF PEERS BELONG TO A GANG
R0070800	PERCENT PEERS WHO PLAN TO GO TO COLLEGE
R0070900	PERCENT OF PEERS WHO DO VOLUNTEER WORK
R0071000	PERCENT PEERS USE ILLEGAL DRUGS
R0071100	PERCENT OF PEERS WHO CUT CLASSES OR SCHOOL
R0071300	PERCENT OF PEERS WHO HAVE HAD SEX
R0071600	TIME R WAKES IN MORNING
R0071700	PLACE R GOES REGULARLY ON TYPICAL DAY?
R0071800	WHERE DOES R GO REGULARLY?
R0071900	WHAT TIME R LEAVE FOR REGULAR PLACE 01?
R0072000	WHAT TIME R LEAVE FOR REGULAR PLACE 02?
R0072100	WHAT TIME R LEAVE FOR REGULAR PLACE 03?
R0072200	WHAT TIME R LEAVE FOR REGULAR PLACE 04?
R0072300	TIME ARRIVES HOME FROM REGULAR PLACE 01?
R0072400	TIME ARRIVES HOME FROM REGULAR PLACE 02?
R0072500	TIME ARRIVES HOME FROM REGULAR PLACE 03?
R0072600	TIME ARRIVES HOME FROM REGULAR PLACE 04?
R0072900	R SPEND TIME DOING HOMEWORK?
R0073000	# WEEKDAYS R DOES HOMEWORK
R0073100	TIME PER WEEKDAY SPEND DOING HOMEWORK (HOURS)
R0073200	TIME PER WEEKDAY SPEND DOING HOMEWORK (MINUTES)
R0073300	TOTAL TIME PER WEEKEND DOING HOMEWORK (HOURS)
R0073400	TOTAL TIME PER WEEKEND DOING HOMEWORK (MINUTES)
R0073500	R TAKE EXTRA CLASSES OR LESSONS?
R0073600	# WEEKDAYS R TOOK EXTRA CLASSES AND LESSONS
R0073700	TIME PER WEEKDAY FOR EXTRA CLASSES AND LESSONS (HOURS)
R0073800	TIME PER WEEKDAY FOR EXTRA CLASSES AND LESSONS (MINUTES)
R0073900	TOTAL TIME EACH WEEKEND FOR EXTRA CLASSES AND LESSONS (HOURS)
R0074000	TOTAL TIME EACH WEEKEND FOR EXTRA CLASSES AND LESSONS (MINUTES)
R0074100	R SPEND TIME WATCHING TV?
R0074200	# WEEKDAYS R WATCHES TV
R0074300	TIME PER WEEKDAY R WATCHES TV? (HOURS)
R0074400	TIME PER WEEKDAY R WATCHES TV? (MINUTES)
R0074500	TOTAL TIME PER WEEKEND R WATCHES TV (HOURS)
R0074600	TOTAL TIME PER WEEKEND R WATCHES TV (MINUTES)
R0074700	R SPEND TIME READING FOR PLEASURE?
R0074800	# WEEKDAYS R READ FOR PLEASURE
R0074900	TIME PER WEEKDAY R READS FOR PLEASURE (HOURS)
R0075000	TIME PER WEEKDAY R READS FOR PLEASURE (MINUTES)
R0075100	TOTAL TIME PER WEEKEND R READS FOR PLEASURE (HOURS)
R0075200	TOTAL TIME PER WEEKEND R READS FOR PLEASURE (MINUTES)
R0322800	CHOCOLATE ICE CREAM (SAQ)
R0322900	FAVORITE ICE CREAM (SAQ)
R0323900	# DAYS PER WEEK TYPICALLY FAMILY DOES SOMETHING RELIGIOUS
R0443500	PERCENT CHANCE ARRESTED IF STEAL CAR?
R0443600	PERCENT CHANCE RELEASED WITH OUT CHARGE IF STOLE CAR?
R0443700	PERCENT CHANCE PAY FINE AND RELEASED IF STOLE CAR?
R0443800	PERCENT CHANCE GO TO JAIL IF STOLE CAR?
R0513500	PERCENT CHANCE GET FLU NEXT YEAR
R0513600	PERCENT CHANCE EAT PIZZA NEXT YEAR
R0513700	PERCENT CHANCE R IN SCHOOL NEXT YEAR
R0513800	PERCENT CHANCE R IN SCHOOL AND WORKING 20+ HOURS PER WEEK NEXT YEAR
R0513900	PERCENT CHANCE WORK 20+ HOURS WHILE NOT IN SCHOOL NEXT YEAR
R0514100	PERCENT CHANCE R PREGNANT BY NEXT YEAR
R0514200	PERCENT CHANCE R GET SOMEONE PREGNANT BY NEXT YEAR
R0514300	PERCENT CHANCE R GET DRUNK BY NEXT YEAR
R0514400	PERCENT CHANCE R VICTIM OF VIOLENT CRIME BY NEXT YEAR
R0514500	PERCENT CHANCE R ARRESTED BY NEXT YEAR
R0514600	PERCENT CHANCE R DIE BY NEXT YEAR
R0514700	PERCENT CHANCE R HAS HIGH SCHOOL DIPLOMA BY 20 YEARS OLD
R0514800	PERCENT CHANCE R IN JAIL BY 20 YEARS OLD
R0514900	PERCENT CHANCE R A PARENT BY 20 YEARS OLD
R0515000	PERCENT CHANCE R DIE BY 20 YEARS OLD
R0515100	PERCENT CHANCE R HAS COLLEGE DEGREE BY 30 YEARS OLD
R0515200	PERCENT CHANCE WORK 20+ HOURS PER WEEK BY 30 YEARS OLD
R0522800	PLACES, TIME R ARRIVES HOME AFTER REGULAR DAILY ACTIVITY 01 (ROS
R0522900	PLACES, TIME R ARRIVES HOME AFTER REGULAR DAILY ACTIVITY 02 (ROS
R0523000	PLACES, TIME R ARRIVES HOME AFTER REGULAR DAILY ACTIVITY 03 (ROS
R0523100	PLACES, TIME R ARRIVES HOME AFTER REGULAR DAILY ACTIVITY 04 (ROS
R0523200	PLACES, TIME R LEAVES HOME FOR REGULAR DAILY ACTIVITY 01 (ROS ITEM)
R0523300	PLACES, TIME R LEAVES HOME FOR REGULAR DAILY ACTIVITY 02 (ROS ITEM)
R0523400	PLACES, TIME R LEAVES HOME FOR REGULAR DAILY ACTIVITY 03 (ROS ITEM)
R0523500	PLACES, TIME R LEAVES HOME FOR REGULAR DAILY ACTIVITY 04 (ROS ITEM)
R0536300	KEY!SEX, RS GENDER (SYMBOL)
R0536401	KEY!BDATE, RS BIRTHDATE MONTH/YEAR (SYMBOL)
R0536402	KEY!BDATE, RS BIRTHDATE MONTH/YEAR (SYMBOL)
R0552200	WHAT RELIGION WAS PR RAISED IN?
R0552300	WHAT IS PRS CURRENT RELIGIOUS PREFERENCE?
R0555700	WHAT RELIGION WAS PRS SPOUSE/PARTNER RAISED IN?
R0555800	WHAT IS PRS SPOUSE/PARTNER CURRENT RELIGIOUS PREFERENCE?
R0560600	WHAT RELIGION WAS NONRESP PARENT 01 RAISED IN?
R0560700	WHAT RELIGION WAS NONRESP PARENT 02 RAISED IN?
R0624400	PR DOES NOT NEED RELIGION FOR GOOD VALUES
R0624600	PR OBEYS BIBLE IN EVERY SITUATION
R0624700	PR OBEYS KORAN IN EVERY SITUATION
R0624800	PR OBEYS TORAH IN EVERY SITUATION
R0624900	PR OBEYS RELIGIOUS TEACHINGS IN EVERY SITUATION
R0625000	PR ASKS GOD HELP MAKE DECISIONS
R0625100	GOD HAS NOTHING TO DO WITH WHAT HAPPENS TO PR
R0625200	PR PRAYS MORE THAN ONCE A DAY
R0688500	PERCENT CHANCE R IN SCHOOL NEXT YEAR
R0688600	PERCENT CHANCE R IN SCHOOL & WORKING 20+ HOURS PER WEEK NEXT YEAR
R0688700	PERCENT CHANCE R HAS HIGH SCHOOL DIPLOMA BY 20 YEARS OLD
R0688800	PERCENT CHANCE R IN JAIL BY 20 YEARS OLD
