AID	 Respondent identifier number.
IMONTH	 Month interview completed.
IDAY	 Day interview completed.
IYEAR	 Year interview completed.
SCH_YR	 Interviewer:  Is the (1994-1995) school year currently in session for this R's school?
BIO_SEX	 Interviewer, please confirm that R's sex is (male) female.  (Ask if necessary.)
VERSION	 Version number of the instrument administered
SMP01	 Core sample flag
SMP03	 High education black sample flag
AH_RAW	 Add Health Picture Vocabulary Test raw score
H1GI2	Think about the house or apartment building in which you lived in January 1990, when you were {AGE IN JANUARY 1990} years old.  Do you still live there?
H1GI3	How old were you when you moved here to your current residence?
H1GI4	Are you of Hispanic or Latino origin?
H1GI5A	What is your Hispanic or Latino background?  You may give more than one answer. Mexican/Mexican American
H1GI5B	What is your Hispanic or Latino background?  You may give more than one answer. Chicano/Chicana
H1GI5C	What is your Hispanic or Latino background?  You may give more than one answer. Cuban/Cuban American
H1GI5D	What is your Hispanic or Latino background?  You may give more than one answer. Puerto Rican
H1GI5E	What is your Hispanic or Latino background?  You may give more than one answer. Central/South American
H1GI5F	What is your Hispanic or Latino background?  You may give more than one answer. Other Hispanic
H1GI6A	What is your race?  You may give more than one answer. White
H1GI6B	What is your race?  You may give more than one answer. Black or African American
H1GI6C	What is your race?  You may give more than one answer. American Indian or Native American
H1GI6D	What is your race?  You may give more than one answer. Asian or Pacific Islander
H1GI6E	What is your race?  You may give more than one answer. Other
H1GI7A	What is your Asian background?  You may give more than one answer. Chinese
H1GI7B	What is your Asian background?  You may give more than one answer. Filipino
H1GI7C	What is your Asian background?  You may give more than one answer. Japanese
H1GI7D	What is your Asian background?  You may give more than one answer. Asian Indian
H1GI7E	What is your Asian background?  You may give more than one answer. Korean
H1GI7F	What is your Asian background?  You may give more than one answer. Vietnamese
H1GI7G	What is your Asian background?  You may give more than one answer. Other
H1GI8	Which one category best describes your racial background?
H1GI9	Interviewer:  Please code the race of the respondent from your own observation alone.
H1GI10	What language is usually spoken in your home?
H1GI11	Were you born in the United States?
H1GI12	In what country were you born?
H1GI13M	In what month [and year] did you first move to the United States?
H1GI13Y	In what [month and] year did you first move to the United States?
H1GI14	Were you born a U.S. citizen?
H1GI15	Have you ever been married
H1GI16M	In what month [and year] were you married for the first time?
H1GI16Y	In what [month and] year were you married for the first time?
H1GI18	[If SCHOOL YEAR:]  Are you presently in school?
H1GI19	{ARE/WERE} you attending either {SAMPLE SCHOOL} or
H1GI20	What grade {ARE/WERE} you in?  [If school doesn't have grade levels of this kind, enter “99.”]
H1GI21	Why {AREN'T/WEREN'T} you going to school?
H1DA1	During the past week, how many times did you do work around the house,  such as cleaning, cooking, laundry, yardwork, or caring for a pet?
H1DA2	During the past week, how many times did you do hobbies, such as collecting baseball cards, playing a musical instrument, reading, or doing arts and crafts?
H1DA3	During the past week, how many times did you watch television or videos, or play video games?
H1DA4	During the past week, how many times did you go roller-blading, roller-skating, skate-boarding, or bicycling?
H1DA5	During the past week, how many times did you play an active sport, such as baseball, softball, basketball, soccer, swimming, or football?
H1DA6	During the past week, how many times did you do exercise, such as jogging, walking, karate, jumping rope, gymnastics or dancing?
H1DA7	During the past week, how many times did you just hang out with friends?
H1DA8	How many hours a week do you watch television?
H1DA9	How many hours a week do you watch videos?
H1DA10	How many hours a week do you play video or computer games?
H1DA11	How many hours a week do you listen to the radio?
H1GH1	In general, how is your health?  Would you say...
H1GH1A	 1a.    Do you have difficulty using your hands, arms, legs, or feet because of a physical condition that has lasted for the past twelve months or more?
H1GH2	How often have you had a headache?
H1GH3	feeling hot all over suddenly, for no reason
H1GH4	a stomach ache or an upset stomach
H1GH5	cold sweats
H1GH6	feeling physically weak, for no reason
H1GH7	a sore throat or a cough
H1GH8	feeling very tired, for no reason
H1GH9	painful or very frequent urination (or peeing)
H1GH10	feeling really sick
H1GH11	waking up feeling tired
H1GH12	skin problems, such as itching or pimples
H1GH13	dizziness
H1GH14	chest pains
H1GH15	aches, pains, or soreness in your muscles or joints
H1GH16	cramps during your menstrual period
H1GH17	poor appetite
H1GH18	trouble falling asleep or staying asleep
H1GH19	trouble relaxing
H1GH20	moodiness
H1GH21	frequent crying
H1GH22	fearfulness
H1GH23A	What do you usually have for breakfast on a weekday morning? milk
H1GH23B	What do you usually have for breakfast on a weekday morning? coffee or tea
H1GH23C	What do you usually have for breakfast on a weekday morning? cereal
H1GH23D	What do you usually have for breakfast on a weekday morning? fruit, juice
H1GH23E	What do you usually have for breakfast on a weekday morning? eggs
H1GH23F	What do you usually have for breakfast on a weekday morning? meat
H1GH23G	What do you usually have for breakfast on a weekday morning? snack foods
H1GH23H	What do you usually have for breakfast on a weekday morning? bread, toast, or rolls
H1GH23I	What do you usually have for breakfast on a weekday morning? other items
H1GH23J	What do you usually have for breakfast on a weekday morning? nothing
H1GH24	When did you last have a physical examination by a doctor or nurse?
H1GH25	When did you last have a dental examination by a dentist or hygienist?
H1GH26	Has there been any time over the past year when you thought you should get medical care, but you did not?
H1GH27A	[Hand R show card 3.]  What kept you from seeing a health professional when you really needed to?  If there was more than one reason, choose more than one answer. didn't know whom to go see
H1GH27B	[Hand R show card 3.]  What kept you from seeing a health professional when you really needed to?  If there was more than one reason, choose more than one answer. had no transportation
H1GH27C	[Hand R show card 3.]  What kept you from seeing a health professional when you really needed to?  If there was more than one reason, choose more than one answer. no one available to go along
H1GH27D	[Hand R show card 3.]  What kept you from seeing a health professional when you really needed to?  If there was more than one reason, choose more than one answer. parent or guardian would not go
H1GH27E	[Hand R show card 3.]  What kept you from seeing a health professional when you really needed to?  If there was more than one reason, choose more than one answer. didn't want parents to know
H1GH27F	[Hand R show card 3.]  What kept you from seeing a health professional when you really needed to?  If there was more than one reason, choose more than one answer. difficult to make appointment
H1GH27G	[Hand R show card 3.]  What kept you from seeing a health professional when you really needed to?  If there was more than one reason, choose more than one answer. afraid of what the doctor would say or do
H1GH27H	[Hand R show card 3.]  What kept you from seeing a health professional when you really needed to?  If there was more than one reason, choose more than one answer. thought the problem would go away
H1GH27I	[Hand R show card 3.]  What kept you from seeing a health professional when you really needed to?  If there was more than one reason, choose more than one answer. couldn't pay
H1GH27J	[Hand R show card 3.]  What kept you from seeing a health professional when you really needed to?  If there was more than one reason, choose more than one answer. other
H1GH28	How do you think of yourself in terms of weight?
H1GH29	Are you trying to lose weight, gain weight, or stay the same weight?
H1GH30A	During the past seven days, which of the following things did you do in order to lose weight or to keep from gaining weight?  [Read list and code all that apply.] dieted
H1GH30B	During the past seven days, which of the following things did you do in order to lose weight or to keep from gaining weight?  [Read list and code all that apply.] exercised
H1GH30C	During the past seven days, which of the following things did you do in order to lose weight or to keep from gaining weight?  [Read list and code all that apply.] made yourself vomit
H1GH30D	During the past seven days, which of the following things did you do in order to lose weight or to keep from gaining weight?  [Read list and code all that apply.] took diet pills
H1GH30E	During the past seven days, which of the following things did you do in order to lose weight or to keep from gaining weight?  [Read list and code all that apply.] took laxatives
H1GH30F	During the past seven days, which of the following things did you do in order to lose weight or to keep from gaining weight?  [Read list and code all that apply.] other
H1GH30G	During the past seven days, which of the following things did you do in order to lose weight or to keep from gaining weight?  [Read list and code all that apply.] none
H1GH31A	During the past seven days, which of the following things did you do in order to gain weight or to build muscle?  [Read list and code all that apply.] dieted
H1GH31B	During the past seven days, which of the following things did you do in order to gain weight or to build muscle?  [Read list and code all that apply.] exercised
H1GH31C	During the past seven days, which of the following things did you do in order to gain weight or to build muscle?  [Read list and code all that apply.] lifted weights
H1GH31D	During the past seven days, which of the following things did you do in order to gain weight or to build muscle?  [Read list and code all that apply.] took food supplements
H1GH31F	During the past seven days, which of the following things did you do in order to gain weight or to build muscle?  [Read list and code all that apply.] other
H1GH31G	During the past seven days, which of the following things did you do in order to gain weight or to build muscle?  [Read list and code all that apply.] none
H1GH32	How often did you drink milk, or eat yogurt, or cheese yesterday?
H1GH33	How often did you eat fruit or drink fruit juice yesterday?
H1GH34	How often did you eat vegetables yesterday?
H1GH35	How often did you eat bread, cereal, pretzels, rice, or pasta yesterday?
H1GH36	How often did you eat cookies, doughnuts, pie, or cake yesterday?
H1GH37	In an average week, on how many days do you go to physical education classes at school?
H1GH38	During an average physical education class at school, how many minutes do you spend actually exercising or playing sports?
H1GH39	How often do you wear a helmet when you ride a bicycle?
H1GH40	During the past 12 months, how often did you ride a motorcycle?
H1GH41	When you rode a motorcycle during the past 12 months, how often did you wear a helmet?
H1GH42	How often do you wear a seatbelt when you are riding in or driving a car?
H1GH43	During the past 30 days, how often did you drive a car or other vehicle when you had been drinking alcohol?
H1GH44	What do you think your chances are of getting AIDS?
H1GH45	How many people do you know who have AIDS?
H1GH46	What do you think your chances are of getting another sexually transmitted disease, such as gonorrhea or genital herpes?  Would you say...
H1GH47	How many people do you know who have had another sexually transmitted disease, such as gonorrhea or genital herpes?
H1GH48	[Hand R show card 2.]  In the last month, how often did a health or emotional problem cause you to miss a day of school?
H1GH49	In the last month, how often did a health or emotional problem cause you to miss a social or recreational activity?
H1GH50	What time do you usually go to bed on week nights?  Type in time in this format  HH:MM A for AM or HH:MM P for PM.  Please remember that midnight is 12:00A and noon is 12:00P!
H1GH51	How many hours of sleep do you usually get?
H1GH52	Do you usually get enough sleep?
H1GH53	During the past 12 months, have you ever spent the night away from home without permission?
H1GH54	[Hand R show card 4.]  Which of these best describes your worst
H1GH55	Do you have a permanent tattoo?
H1GH56	Do you have one or both ears pierced?
H1GH57	Do you wear braces on your teeth?
H1GH58	Have you ever worn braces?
H1GH60	What is your weight?
H1TS1	the foods you should and shouldn't eat
H1TS2	the importance of exercise
H1TS3	smoking
H1TS4	the problems of being overweight
H1TS5	drinking
H1TS6	drug abuse
H1TS7	pregnancy
H1TS8	AIDS
H1TS9	what to do if a stranger approaches you
H1TS10	taking care of your teeth
