AID	RESPONDENT IDENTIFIER
IMONTH4	Month of Wave IV interview
IDAY4	Day of Wave IV interview
IYEAR4	Year of Wave IV interview
BIO_SEX4	Respondent's gender
VERSION4	Version number of the instrument administered
BREAK_Q	Breakoff questions asked? *
PRYEAR4	Previous interview year
PRETEST4	Pretest interview *
PRISON4	Interview conducted in prison *
H4OD1M	Respondent's date of birth – month*
H4OD1Y	Respondent's date of birth – year*
H4OD2A	English
H4OD2B	Spanish
H4OD2C	Chinese
H4OD2D	an other European language
H4OD2E	an other Asian language
H4OD2F	an other language
H4OD3	What language do you use most with your family and close relatives?
H4OD4	Were you born a US citizen?
H4OD5	Have you become a US citizen?
H4OD6Y	In what year did you become a citizen? [year] NOTE: Smallest 5 and largest 5 values are displayed.
H4OD7	Are you trying to become a US citizen?
H4WP1	Is your biological mother still alive?
H4WP2Y	In what year did your biological mother die? NOTE: Smallest 5 and largest 5 values are displayed.
H4WP3	(Has/did) your biological mother ever (spent/spend) time in jail or
H4WP4	How many times (has/did) your biological mother (spent/spend) time in jail or prison?*
H4WP5	How old were you when your biological mother went to jail or prison (the first time)? [years]
H4WP6	How old were you when your biological mother was released from jail or prison (most recently)? [years]
H4WP7	Is your biological father still alive?
H4WP8Y	In what year did you biological father die?
H4WP9	(Has/did) your biological father ever (spent/spend) time in jail or prison?
H4WP10	How many times (has/did) your biological father (spent/spend) time in jail or prison?*
H4WP11	How old were you when your biological father went to jail or prison (the first time)? [years]
H4WP12	How old were you when your biological father was released from jail or prison (most recently)? [years]*
H4WP13	What is this person's relationship to you?
H4WP14	Is your (mother figure) still alive?
H4WP15Y	In what year did your (mother figure) die?
H4WP16	(Has/did) your (mother figure) ever (spent/spend) time in jail or prison?
H4WP17	How many times (has/did) your (mother figure) (spent/spend) time in jail or prison?*
H4WP18	How old were you when your (mother figure) went to jail or prison (the first time)? [years]
H4WP19	How old were you when your (mother figure) was released from jail or prison (most recently)? [years]
H4WP20	How far do you and your (mother figure) live from one another?
H4WP21	How often do you and your (mother figure) see each other?
H4WP22	How often do you and your (mother figure) talk on the telephone, exchange letters, or exchange email?
H4WP23	You are satisfied with the way your (mother figure) and you communicate with each other.
H4WP24	How close do you feel to your (mother figure)?
H4WP25	How many times has your (mother figure) paid your living expenses or given you $50 or more to pay living expenses during the past 12 months?*
H4WP26	How many times have you paid your (mother figure's) living expenses or given her more than $50 to pay living expenses during the past 12 months?*
H4WP27	What is this person's relationship to you?
H4WP28	Is your (father figure) still alive?
H4WP29Y	In what year did your (father figure) die?
H4WP30	(Has/did) your (father figure) ever (spent/spend) time in jail or prison?
H4WP31	How many times (has/did) your (father figure) (spent/spend) time in jail or prison?*
H4WP32	How old were you when your (father figure) went to jail or prison (the first time)? [years]
H4WP33	How old were you when your (father figure) was released from jail or prison (most recently)? [years]
H4WP34	How far do you and your (father figure) live from one another?
H4WP35	How often do you and your (father figure) see each other?
H4WP36	How often do you and your (father figure) talk on the telephone, exchange letters, or exchange email?
H4WP37	You are satisfied with the way your (father figure) and you communicate with each other.
H4WP38	How close do you feel to your (father figure)?
H4WP39	How many times has your (father figure) paid your living expenses or given you $50 or more to pay living expenses during the past 12 months?*
H4WP40	How many times have you paid your (father figure's) living expenses or given him more than $50 to pay living expenses during the past 12 months?*
H4WS1	How many brothers and sisters do you have, both living and deceased? Include biologically related, adoptive, and step-brothers or sisters.*
H4WS2	How many have died?
H4WS4	How many close friends do you have? (Close friends include people whom you feel at ease with, can talk to about private matters, and can call on for help.)
H4WS5	What race are you close friends?
H4GH1	In general, how is your health?
H4GH2	In the past 30 days, how often did a health problem cause you to miss a day of school or work?
H4GH3M	What is the date your last menstrual period began? [Month]
H4GH3D	What is the date when your last menstrual period began? [Day] NOTE: Smallest 5 and largest 5 values are displayed.
H4GH3Y	What is the date when your last menstrual period began? [Year]
H4GH4A	What is your best guess about how long ago your last menstrual period began? [Number of days, weeks, or months]
H4GH4B	What is your best guess about how long ago your last menstrual period began? [Days, weeks, or months]
H4GH5F	How tall are you in feet?
H4GH5I	How tall are you in inches?
H4GH6	What is your current weight in pounds?*
H4GH7	How do you think of yourself in terms of weight?
H4GH8	How many times in the past seven days did you eat food from a fast food restaurant, such as McDonald's, Burger King, Wendy's, Arby's, Pizza Hut, Taco Bell, or Kentucky Fried Chicken or a local fast food restaurant? (Enter 99 for 99 or more times.)
H4GH9	In the past 7 days, how many regular (non-diet) sweetened drinks did you have? Include regular soda, juice drinks, sweetened tea or coffee, energy drinks, flavored water, or other sweetened drinks. (Enter 99 for 99 or more.)
H4GH10	In the past 7 days, how many diet or low-calorie drinks did you have? Include diet sodas, unsweetened tea or coffee, or other drinks sweetened with artificial sweeteners. (Enter 99 for 99 or more.) NOTE: Smallest 5 and largest 5 values are displayed.
H4GH11H	At what time did you last eat or drink anything other than water, including sugar-containing candy or gum? [Hour]
H4GH11M	At what time did you last eat or drink anything other than water, including sugar-containing candy or gum? [Minute]
H4GH11T	At what time did you last eat or drink anything other than water, including sugar-containing candy or gum? [am/pm]
H4GH12	Did you drink a caffeinated beverage (e.g., coffee, tea or soda) in the past 24 hours?
H4GH13H	At what time did you last drink a caffeinated beverage? [Hour]
H4GH13M	At what time did you last drink a caffeinated beverage? [Minute] NOTE: Smallest 5 and largest 5 values are displayed.
H4GH13T	At what time did you last drink a caffeinated beverage? [am/pm]
H4HS1	Which of the following best describes your current health insurance situation?
H4HS2A	You are not offered health insurance through work or school.
H4HS2B	It is too expensive.
H4HS2C	You do not need or want health insurance.
H4HS2D	You were denied health insurance.
H4HS3	Over the past 12 months, how many months did you have health insurance?
H4HS4	Has there been a time in the past 12 months when you thought you should get medical care, but you did not?
H4HS5	In the past 12 months, did a health problem get worse because you did not get care when you thought you should?
H4HS6	Where do you usually go when you are sick or need health care?
H4HS7	How long ago did you last have a routine check-up?
H4HS8	In the past 12 months have you had a dental examination by a dentist or dental hygienist?
H4HS9	In the past 12 months have you received psychological or emotional counseling?
H4ID1	The following questions are about activities you might do during a typical day. How much does your health now limit you in these activities: moderate activities, such as moving a table, pushing a vacuum cleaner, bowling, playing golf?
H4ID2	How much does your health now limit you in: climbing several flights of stairs?
H4ID3	Is your limitation in activities caused by a condition that has lasted more than a year, or by a condition that has developed recently?
H4ID4	Do you use a brace, cane, wheelchair or other device because of a physical condition?
H4ID5A	Has a doctor, nurse or other health care provider ever told you that you have or had: cancer or lymphoma or leukemia? Don't include skin cancer, except melanoma?
H4ID5B	Has a doctor, nurse or other health care provider ever told you that you have or had: high blood cholesterol or triglycerides or lipids?
H4ID5C	Has a doctor, nurse or other health care provider ever told you that you have or had: high blood pressure or hypertension {if female add, when you were not pregnant}?
H4ID5D	Has a doctor, nurse or other health care provider ever told you that you have or had: high blood sugar or diabetes {if female add, when  you were not pregnant}?
H4ID5E	Has a doctor, nurse or other health care provider ever told you that you have or had: heart disease?
H4ID5F	Has a doctor, nurse or other health care provider ever told you that you have or had: asthma, chronic bronchitis or emphysema?
H4ID5G	Has a doctor, nurse or other health care provider ever told you that you have or had: migraine headaches?
